"Imigranti dupa tara de emigrare si scopul sosirii , 2011-2018",,,,,,,,
,,,,,,,,
"Tara de emigrare;""2011 Total"";""2011 La munca"";""2011 La studii"";""2011 Imigratie de familie"";""2011 Activitati religioase"," umanitare si de voluntariat"";""2011 Alte cauze/ motive"";""2012 Total"";""2012 La munca"";""2012 La studii"";""2012 Imigratie de familie"";""2012 Activitati religioase"," umanitare si de voluntariat"";""2012 Alte cauze/ motive"";""2013 Total"";""2013 La munca"";""2013 La studii"";""2013 Imigratie de familie"";""2013 Activitati religioase"," umanitare si de voluntariat"";""2013 Alte cauze/ motive"";""2014 Total"";""2014 La munca"";""2014 La studii"";""2014 Imigratie de familie"";""2014 Activitati religioase"," umanitare si de voluntariat"";""2014 Alte cauze/ motive"";""2015 Total"";""2015 La munca"";""2015 La studii"";""2015 Imigratie de familie"";""2015 Activitati religioase"," umanitare si de voluntariat"";""2015 Alte cauze/ motive"";""2016 Total"";""2016 La munca"";""2016 La studii"";""2016 Imigratie de familie"";""2016 Activitati religioase"," umanitare si de voluntariat"";""2016 Alte cauze/ motive"";""2017 Total"";""2017 La munca"";""2017 La studii"";""2017 Imigratie de familie"";""2017 Activitati religioase"," umanitare si de voluntariat"";""2017 Alte cauze/ motive"";""2018 Total"";""2018 La munca"";""2018 La studii"";""2018 Imigratie de familie"";""2018 Activitati religioase"," umanitare si de voluntariat"";""2018 Alte cauze/ motive"""
Rusia;240;46;12;173;6;3;305;45;17;228;3;12;335;54;12;241;2;26;516;53;9;336;9;109;567;55;5;373;5;129;705;44;9;444;8;200;685;39;7;437;6;196;683;29;9;474;11;160,,,,,,,,
Rwanda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
San Marino;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Senegal;1;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;1;1;-;-;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Serbia;7;6;-;1;-;-;10;6;-;2;-;2;10;8;-;1;-;1;18;14;-;1;-;3;11;10;-;1;-;7;7;3;-;3;-;1;15;10;-;3;-;2;12;9;-;-;-;3,,,,,,,,
Sierra Leone;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-,,,,,,,,
Singapore;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Siria;34;9;11;14;-;-;65;9;5;48;-;3;64;14;7;41;-;2;34;8;7;19;-;-;33;11;4;18;-;-;20;6;2;11;-;1;15;3;1;11;-;-;24;3;4;12;-;5,,,,,,,,
Slovacia;1;1;-;-;-;-;3;-;-;1;-;2;16;7;-;3;1;5;3;1;-;-;2;-;4;-;1;-;1;2;5;4;-;-;1;-;12;6;1;-;2;3;6;-;1;-;1;4,,,,,,,,
Slovenia;4;2;1;1;-;-;6;4;-;1;-;1;1;-;1;-;-;-;-;-;-;-;-;-;1;-;-;-;-;1;-;-;-;-;-;-;3;1;2;-;-;-;3;-;-;-;-;3,,,,,,,,
Somali;-;-;-;-;-;-;2;-;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Spania;13;6;-;1;6;-;10;2;-;-;7;1;25;8;4;2;10;1;21;4;4;1;11;1;37;7;1;7;19;3;12;3;1;2;3;3;14;3;-;3;8;-;18;1;1;7;6;3,,,,,,,,
Sri Lanka;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
SUA;75;5;3;16;51;-;176;6;5;13;33;119;129;6;3;8;32;80;202;9;24;22;46;101;209;14;19;8;75;93;192;14;25;8;66;79;206;16;29;15;64;82;211;4;43;11;58;95,,,,,,,,
Sudan;3;-;2;1;-;-;4;-;4;-;-;-;1;-;-;1;-;-;10;-;6;3;-;1;8;1;5;2;-;-;3;-;2;1;-;-;2;-;2;-;-;-;3;-;2;1;-;-,,,,,,,,
Suedia;6;2;-;2;2;-;8;1;1;1;3;2;15;4;2;1;5;3;16;2;8;-;2;4;21;4;7;3;3;4;17;4;7;1;2;3;10;1;5;-;1;3;15;1;6;3;-;5,,,,,,,,
Surinam;1;-;-;-;1;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-,,,,,,,,
Tadjikistan;11;2;5;3;1;-;10;1;4;4;-;1;8;-;2;6;-;-;16;2;3;10;-;1;16;1;1;8;6;-;15;2;-;9;4;-;20;1;-;7;12;-;26;-;-;14;12;-,,,,,,,,
Tanzania;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;-;2;-;-;-;-;-;-;-;1;-;-;-;1;-,,,,,,,,
Thailanda;-;-;-;-;-;-;3;3;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;3;2;-;1;-;-;2;2;-;-;-;-;2;1;-;1;-;-,,,,,,,,
Togo;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;1;1;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Tunisia;1;1;-;-;-;-;2;1;-;1;-;-;1;1;-;-;-;-;3;2;-;1;-;-;3;1;1;1;-;-;3;-;-;2;1;-;2;-;-;2;-;-;3;-;-;3;-;-,,,,,,,,
Turcia;266;122;59;84;-;1;337;183;39;102;-;13;445;267;79;93;-;6;421;231;120;68;-;2;347;191;70;82;-;4;293;144;63;76;2;8;245;104;49;79;2;11;430;265;38;74;3;50,,,,,,,,
Turkmenistan;3;-;1;2;-;-;5;1;-;3;-;1;-;-;-;-;-;-;-;-;-;-;-;-;2;-;-;2;-;-;4;1;-;3;-;-;1;-;-;1;-;-;1;-;1;-;-;-,,,,,,,,
Ucraina;384;94;43;237;9;1;403;76;29;285;3;10;394;54;37;278;3;22;534;93;38;362;5;36;754;145;39;484;12;74;734;138;38;463;6;89;681;106;21;469;6;79;752;113;40;507;9;83,,,,,,,,
Uganda;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Ungaria;5;4;-;-;-;1;4;-;-;1;-;3;2;-;-;2;-;-;4;-;2;-;2;-;3;1;-;1;1;-;3;2;-;-;-;1;4;1;1;1;-;1;5;1;-;1;1;2,,,,,,,,
Uzbekistan;18;2;7;9;-;-;22;1;4;16;1;-;34;3;11;18;-;2;22;1;3;14;-;4;37;4;1;13;16;3;24;-;-;13;11;-;27;1;1;15;8;2;41;7;-;24;9;1,,,,,,,,
Venezuela;1;-;-;-;1;-;1;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Vietnam;4;4;-;-;-;-;1;-;-;1;-;-;5;-;5;-;-;-;6;-;5;1;-;-;5;-;5;-;-;-;1;-;-;-;-;1;1;-;-;1;-;-;3;1;-;1;-;1,,,,,,,,
Yemen;1;-;-;1;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1;1;-;-;-;-;1;-;-;1;-;-;-;-;-;-;-;-;1;-;-;1;-;-;1;-;-;1;-;-,,,,,,,,
Zair;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Zambia;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Zimbabwe;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Apatrid;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,,,,,,,,
Nu este definit;2;2;-;-;-;-;26;7;8;5;1;5;25;2;2;10;1;10;31;7;3;9;4;8;26;9;4;7;-;6;26;8;2;6;3;7;18;4;3;4;3;4;26;5;10;4;3;4,,,,,,,,
